months charge point working properly month back chagre working mobile change phone
awesome phone far better redmi note pro terms built quality premium looksscreen quality also many terms nokia plus inch sreen terms phone dimensions far lesser redmi note pro interestingly lesser redmi note makes light weight easy carry less bulkybuilt quality premium terms looks honestly makes surrouding people jealous redmi users even iphone user feel jread
nokia name back bad phone everything perfect
best looking phone everu fall love single glancegb internalmorover snapdragon processorand endless featuresn finally nokiait got everything
nokia best absolutely premium design nice built qualityno heating issues
awesome phone week test phone feature bad display fantastic build quality superbaudio quality bad
using month say literally beast every department jst go
last years used lg nexus first nokia smart phone cant expect build quality camera display sound sony lg phone lovers try dont hesitate one word say awesome
excellent camera
black colour variant awesome lookingnice phone lite gamers
awesome mobile love colour white love display quality amoled feels love nokia thanks flipkart
great mobile thanks flipkart value money great display premium look bad camera powerfull processor lagging sometime heat average battery
dont buy phone hardware bad issues phone charging slot worst wont work months display issues earphone slot issueplease dont buy person experience dis problems friends many people experiencing bought dis phone seeing specifications brand dat realised dat worst brand dont buy
bad phone superb camera awesome display like amoled screen
really phone designing impressive dont buy phonebcz manufacturing defect charging portdont waste money phone
georges phone
best nokia budget phone everprosdesign classic absolute beautysuper slim sleekyamazing ai powered camerano lags even apps opencrisp stunning displayreally bad resolutionno heating issues alldecent batteryfast charge light weightconsno face unlock really matterlow light photography badno cover screen protection providedworth buy without thought best part android oreo part android one program
delivery done hrsswapped samsung galaxy phone display bad bad amoledi scared nokia square phone design similar galaxy easily handled hand heavy premium looking phonenotch smaller lower bezel cause brandingphone mirror finish quality feels bad hold slipperyandroid one light fast screen isread
nice phone bokeh effect bad look beautiful
one word beast definitely xiaomi killer device everything need smartphone simply go usual bad flipkart service
stunning gorgeous phone build quality awesome display excellent dual voltecamera badif planning buy phone close eyes purchase
im waiting mobile launched china last worth waiting considering price worthy
stunning design
